,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
647,648,1,0,56.0,0,0,35.5,1,0,0
442,443,3,0,25.0,1,0,7.775,0,0,1
477,478,3,0,29.0,1,0,7.0458,0,0,1
536,537,1,0,45.0,0,0,26.55,0,0,1
168,169,1,0,,0,0,25.925,0,0,1
148,149,2,0,36.5,0,2,26.0,0,0,1
289,290,3,1,22.0,0,0,7.75,0,1,0
14,15,3,1,14.0,0,0,7.8542,0,0,1
385,386,2,0,18.0,0,0,73.5,0,0,1
810,811,3,0,26.0,0,0,7.8875,0,0,1
77,78,3,0,,0,0,8.05,0,0,1
737,738,1,0,35.0,0,0,512.3292,1,0,0
451,452,3,0,,1,0,19.9667,0,0,1
34,35,1,0,28.0,1,0,82.1708,1,0,0
346,347,2,1,40.0,0,0,13.0,0,0,1
435,436,1,1,14.0,1,2,120.0,0,0,1
389,390,2,1,17.0,0,0,12.0,1,0,0
656,657,3,0,,0,0,7.8958,0,0,1
694,695,1,0,60.0,0,0,26.55,0,0,1
585,586,1,1,18.0,0,2,79.65,0,0,1
383,384,1,1,35.0,1,0,52.0,0,0,1
57,58,3,0,28.5,0,0,7.2292,1,0,0
245,246,1,0,44.0,2,0,90.0,0,1,0
556,557,1,1,48.0,1,0,39.6,1,0,0
604,605,1,0,35.0,0,0,26.55,1,0,0
349,350,3,0,42.0,0,0,8.6625,0,0,1
658,659,2,0,23.0,0,0,13.0,0,0,1
414,415,3,0,44.0,0,0,7.925,0,0,1
712,713,1,0,48.0,1,0,52.0,0,0,1
473,474,2,1,23.0,0,0,13.7917,1,0,0
138,139,3,0,16.0,0,0,9.2167,0,0,1
223,224,3,0,,0,0,7.8958,0,0,1
220,221,3,0,16.0,0,0,8.05,0,0,1
67,68,3,0,19.0,0,0,8.1583,0,0,1
621,622,1,0,42.0,1,0,52.5542,0,0,1
466,467,2,0,,0,0,0.0,0,0,1
524,525,3,0,,0,0,7.2292,1,0,0
16,17,3,0,2.0,4,1,29.125,0,1,0
429,430,3,0,32.0,0,0,8.05,0,0,1
89,90,3,0,24.0,0,0,8.05,0,0,1
485,486,3,1,,3,1,25.4667,0,0,1
830,831,3,1,15.0,1,0,14.4542,1,0,0
439,440,2,0,31.0,0,0,10.5,0,0,1
243,244,3,0,22.0,0,0,7.125,0,0,1
881,882,3,0,33.0,0,0,7.8958,0,0,1
286,287,3,0,30.0,0,0,9.5,0,0,1
734,735,2,0,23.0,0,0,13.0,0,0,1
619,620,2,0,26.0,0,0,10.5,0,0,1
295,296,1,0,,0,0,27.7208,1,0,0
186,187,3,1,,1,0,15.5,0,1,0
628,629,3,0,26.0,0,0,7.8958,0,0,1
122,123,2,0,32.5,1,0,30.0708,1,0,0
677,678,3,1,18.0,0,0,9.8417,0,0,1
262,263,1,0,52.0,1,1,79.65,0,0,1
438,439,1,0,64.0,1,4,263.0,0,0,1
409,410,3,1,,3,1,25.4667,0,0,1
496,497,1,1,54.0,1,0,78.2667,1,0,0
521,522,3,0,22.0,0,0,7.8958,0,0,1
765,766,1,1,51.0,1,0,77.9583,0,0,1
407,408,2,0,3.0,1,1,18.75,0,0,1
419,420,3,1,10.0,0,2,24.15,0,0,1
452,453,1,0,30.0,0,0,27.75,1,0,0
446,447,2,1,13.0,0,1,19.5,0,0,1
196,197,3,0,,0,0,7.75,0,1,0
226,227,2,0,19.0,0,0,10.5,0,0,1
851,852,3,0,74.0,0,0,7.775,0,0,1
762,763,3,0,20.0,0,0,7.2292,1,0,0
256,257,1,1,,0,0,79.2,1,0,0
406,407,3,0,51.0,0,0,7.75,0,0,1
102,103,1,0,21.0,0,1,77.2875,0,0,1
314,315,2,0,43.0,1,1,26.25,0,0,1
76,77,3,0,,0,0,7.8958,0,0,1
631,632,3,0,51.0,0,0,7.0542,0,0,1
749,750,3,0,31.0,0,0,7.75,0,1,0
626,627,2,0,57.0,0,0,12.35,0,1,0
95,96,3,0,,0,0,8.05,0,0,1
170,171,1,0,61.0,0,0,33.5,0,0,1
880,881,2,1,25.0,0,1,26.0,0,0,1
94,95,3,0,59.0,0,0,7.25,0,0,1
214,215,3,0,,1,0,7.75,0,1,0
38,39,3,1,18.0,2,0,18.0,0,0,1
773,774,3,0,,0,0,7.225,1,0,0
36,37,3,0,,0,0,7.2292,1,0,0
180,181,3,1,,8,2,69.55,0,0,1
176,177,3,0,,3,1,25.4667,0,0,1
811,812,3,0,39.0,0,0,24.15,0,0,1
495,496,3,0,,0,0,14.4583,1,0,0
502,503,3,1,,0,0,7.6292,0,1,0
215,216,1,1,31.0,1,0,113.275,1,0,0
394,395,3,1,24.0,0,2,16.7,0,0,1
719,720,3,0,33.0,0,0,7.775,0,0,1
212,213,3,0,22.0,0,0,7.25,0,0,1
643,644,3,0,,0,0,56.4958,0,0,1
582,583,2,0,54.0,0,0,26.0,0,0,1
131,132,3,0,20.0,0,0,7.05,0,0,1
362,363,3,1,45.0,0,1,14.4542,1,0,0
460,461,1,0,48.0,0,0,26.55,0,0,1
185,186,1,0,,0,0,50.0,0,0,1
13,14,3,0,39.0,1,5,31.275,0,0,1
0,1,3,0,22.0,1,0,7.25,0,0,1
693,694,3,0,25.0,0,0,7.225,1,0,0
475,476,1,0,,0,0,52.0,0,0,1
347,348,3,1,,1,0,16.1,0,0,1
488,489,3,0,30.0,0,0,8.05,0,0,1
68,69,3,1,17.0,4,2,7.925,0,0,1
882,883,3,1,22.0,0,0,10.5167,0,0,1
17,18,2,0,,0,0,13.0,0,0,1
30,31,1,0,40.0,0,0,27.7208,1,0,0
618,619,2,1,4.0,2,1,39.0,0,0,1
525,526,3,0,40.5,0,0,7.75,0,1,0
584,585,3,0,,0,0,8.7125,1,0,0
273,274,1,0,37.0,0,1,29.7,1,0,0
714,715,2,0,52.0,0,0,13.0,0,0,1
437,438,2,1,24.0,2,3,18.75,0,0,1
192,193,3,1,19.0,1,0,7.8542,0,0,1
274,275,3,1,,0,0,7.75,0,1,0
172,173,3,1,1.0,1,1,11.1333,0,0,1
806,807,1,0,39.0,0,0,0.0,0,0,1
679,680,1,0,36.0,0,1,512.3292,1,0,0
303,304,2,1,,0,0,12.35,0,1,0
369,370,1,1,24.0,0,0,69.3,1,0,0
238,239,2,0,19.0,0,0,10.5,0,0,1
824,825,3,0,2.0,4,1,39.6875,0,0,1
283,284,3,0,19.0,0,0,8.05,0,0,1
181,182,2,0,,0,0,15.05,1,0,0
63,64,3,0,4.0,3,2,27.9,0,0,1
403,404,3,0,28.0,1,0,15.85,0,0,1
478,479,3,0,22.0,0,0,7.5208,0,0,1
617,618,3,1,26.0,1,0,16.1,0,0,1
2,3,3,1,26.0,0,0,7.925,0,0,1
336,337,1,0,29.0,1,0,66.6,0,0,1
763,764,1,1,36.0,1,2,120.0,0,0,1
695,696,2,0,52.0,0,0,13.5,0,0,1
782,783,1,0,29.0,0,0,30.0,0,0,1
317,318,2,0,54.0,0,0,14.0,0,0,1
705,706,2,0,39.0,0,0,26.0,0,0,1
431,432,3,1,,1,0,16.1,0,0,1
49,50,3,1,18.0,1,0,17.8,0,0,1
135,136,2,0,23.0,0,0,15.0458,1,0,0
888,889,3,1,,1,2,23.45,0,0,1
603,604,3,0,44.0,0,0,8.05,0,0,1
4,5,3,0,35.0,0,0,8.05,0,0,1
612,613,3,1,,1,0,15.5,0,1,0
723,724,2,0,50.0,0,0,13.0,0,0,1
757,758,2,0,18.0,0,0,11.5,0,0,1
141,142,3,1,22.0,0,0,7.75,0,0,1
415,416,3,1,,0,0,8.05,0,0,1
667,668,3,0,,0,0,7.775,0,0,1
386,387,3,0,1.0,5,2,46.9,0,0,1
86,87,3,0,16.0,1,3,34.375,0,0,1
93,94,3,0,26.0,1,2,20.575,0,0,1
649,650,3,1,23.0,0,0,7.55,0,0,1
507,508,1,0,,0,0,26.55,0,0,1
570,571,2,0,62.0,0,0,10.5,0,0,1
316,317,2,1,24.0,1,0,26.0,0,0,1
228,229,2,0,18.0,0,0,13.0,0,0,1
655,656,2,0,24.0,2,0,73.5,0,0,1
280,281,3,0,65.0,0,0,7.75,0,1,0
752,753,3,0,33.0,0,0,9.5,0,0,1
802,803,1,0,11.0,1,2,120.0,0,0,1
526,527,2,1,50.0,0,0,10.5,0,0,1
738,739,3,0,,0,0,7.8958,0,0,1
578,579,3,1,,1,0,14.4583,1,0,0
53,54,2,1,29.0,1,0,26.0,0,0,1
866,867,2,1,27.0,1,0,13.8583,1,0,0
350,351,3,0,23.0,0,0,9.225,0,0,1
79,80,3,1,30.0,0,0,12.475,0,0,1
855,856,3,1,18.0,0,1,9.35,0,0,1
871,872,1,1,47.0,1,1,52.5542,0,0,1
835,836,1,1,39.0,1,1,83.1583,1,0,0
792,793,3,1,,8,2,69.55,0,0,1
520,521,1,1,30.0,0,0,93.5,0,0,1
